|    X     |    Y     | opcode  |US |    Z     |  OF   |  EQ   |
| 00000100 | 00000100 |   000   | 0 | 00000000 |   0   |   1   |
| 11110000 | 00111100 |   000   | 0 | 00000000 |   1   |   0   |
| 00000100 | 00000100 |   001   | 0 | 00000100 |   0   |   1   |
| 11110000 | 00111100 |   001   | 0 | 00110000 |   1   |   0   |
| 00000100 | 00000100 |   010   | 0 | 00000100 |   0   |   1   |
| 11110000 | 00111100 |   010   | 0 | 11111100 |   1   |   0   |
| 00000100 | 00000100 |   011   | 0 | 00000000 |   0   |   1   |
| 11110000 | 00111100 |   011   | 0 | 11001100 |   1   |   0   |
| 00000100 | 00000100 |   100   | 0 | 00001000 |   0   |   1   |
| 11110000 | 00111100 |   100   | 0 | 00101100 |   1   |   0   |
| 00000100 | 00000100 |   100   | 1 | 00001000 |   0   |   1   |
| 11110000 | 00111100 |   100   | 1 | 00101100 |   1   |   0   |
| 00000100 | 00000100 |   101   | 0 | 00000000 |   0   |   1   |
| 11110000 | 00111100 |   101   | 0 | 10110100 |   1   |   0   |
| 00000100 | 00000100 |   101   | 1 | 00000000 |   0   |   1   |
| 11110000 | 00111100 |   101   | 1 | 10110100 |   1   |   0   |
| 00000100 | 00000100 |   110   | 0 | 00010000 |   0   |   1   |
| 11110000 | 00111100 |   110   | 1 | 01000000 |   1   |   0   |
| 00000100 | 00000100 |   111   | 0 | 00010000 |   0   |   1   |
| 11110000 | 00111100 |   111   | 1 | 01000000 |   1   |   0   |
